12.625	76.375
12.625	76.625
12.625	76.875
12.625	77.125
12.625	77.375
12.625	77.625
12.625	77.875
12.625	78.125
12.625	78.375
12.625	78.625
12.625	78.875
12.625	79.125
12.625	79.375
12.625	79.625
12.625	79.875
12.875	75.125
12.875	75.375
12.875	75.625
12.875	75.875
12.875	76.125
12.875	76.375
12.875	76.625
12.875	76.875
12.875	77.125
12.875	77.375
12.875	77.625
12.875	77.875
12.875	78.125
12.875	78.375
12.875	78.625
12.875	78.875
12.875	79.125
12.875	79.375
12.875	79.625
12.875	79.875
13.125	75.125
13.125	75.375
13.125	75.625
13.125	75.875
13.125	76.125
13.125	76.375
13.125	76.625
13.125	76.875
13.125	77.125
13.125	77.375
13.125	77.625
13.125	77.875
13.125	78.125
13.125	78.375
13.125	78.625
13.125	78.875
13.125	79.125
13.125	79.375
13.125	79.625
13.125	79.875
13.375	75.125
13.375	75.375
13.375	75.625
13.375	75.875
13.375	76.125
13.375	76.375
13.375	76.625
13.375	76.875
13.375	77.125
13.375	77.375
13.375	77.625
13.375	77.875
13.375	78.125
13.375	78.375
13.375	78.625
13.375	78.875
13.375	79.125
13.375	79.375
13.375	79.625
13.375	79.875
13.375	80.125
13.625	74.875
13.625	75.125
13.625	75.375
13.625	75.625
13.625	75.875
13.625	76.125
13.625	76.375
13.625	76.625
13.625	76.875
13.625	77.125
13.625	77.375
13.625	77.625
13.625	77.875
13.625	78.125
13.625	78.375
13.625	78.625
13.625	78.875
13.625	79.125
13.625	79.375
13.625	79.625
13.625	79.875
13.875	74.875
13.875	75.125
13.875	75.375
13.875	75.625
13.875	75.875
13.875	76.125
13.875	76.375
13.875	76.625
13.875	76.875
13.875	77.125
13.875	77.375
13.875	77.625
13.875	77.875
13.875	78.125
13.875	78.375
13.875	78.625
13.875	78.875
13.875	79.125
13.875	79.375
13.875	79.625
13.875	79.875
14.125	74.625
14.125	74.875
14.125	75.125
14.125	75.375
14.125	75.625
14.125	75.875
14.125	76.125
14.125	76.375
14.125	76.625
14.125	76.875
14.125	77.125
14.125	77.375
14.125	77.625
14.125	77.875
14.125	78.125
14.125	78.375
14.125	78.625
14.125	78.875
14.125	79.125
14.125	79.375
14.125	79.625
14.125	79.875
14.375	74.625
14.375	74.875
14.375	75.125
14.375	75.375
14.375	75.625
14.375	75.875
14.375	76.125
14.375	76.375
14.375	76.625
14.375	76.875
14.375	77.125
14.375	77.375
14.375	77.625
14.375	77.875
14.375	78.125
14.375	78.375
14.375	78.625
14.375	78.875
14.375	79.125
14.375	79.375
14.375	79.625
14.375	79.875
14.625	74.625
14.625	74.875
14.625	75.125
14.625	75.375
14.625	75.625
14.625	75.875
14.625	76.125
14.625	76.375
14.625	76.625
14.625	76.875
14.625	77.125
14.625	77.375
14.625	77.625
14.625	77.875
14.625	78.125
14.625	78.375
14.625	78.625
14.625	78.875
14.625	79.125
14.625	79.375
14.625	79.625
14.625	79.875
14.875	74.375
14.875	74.625
14.875	74.875
14.875	75.125
14.875	75.375
14.875	75.625
14.875	75.875
14.875	76.125
14.875	76.375
